"SPEAKER","SENTENCE","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스",""
"고객","사월 십삼일 일박 이일로 예약이 가능한가요?","G","숙박","호텔","1","1","특정날짜예약문의","","Q","","사월 십삼일 일박 이일로 예약이 가능한가요?","","","","사월,십삼일,일박 이일,예약","","사월/달,십삼일/날짜,일박 이일/날짜",""
"점원","네, 저희 홈페이지에 들어가면 지금 예약이 가능하실 거예요","G","숙박","호텔","0","2","특정날짜예약문의","","A","","","","","네, 저희 홈페이지에 들어가면 지금 예약이 가능하실 거예요","홈페이지,예약","","홈페이지/컴퓨터",""
"고객","숙박 비용이 대략 얼마인지 말씀을 해주실 수 있어요?","G","숙박","호텔","1","3","이용요금문의","","Q","","숙박 비용이 대략 얼마인지 말씀을 해주실 수 있어요?","","","","숙박 비용,얼마","","숙박 비용/비용",""
"점원","사월 십삽일 같은 경우에는 극성수기 주말이라 스탠다드룸 두 분 기준에 구만원이에요","G","숙박","호텔","0","4","이용요금문의","","A","","","","","사월 십삽일 같은 경우에는 극성수기 주말이라 스탠다드룸 두 분 기준에 구만원이에요","사월,십삽일,극성수기,주말,스탠다드룸,두 분,구만원","","사월/달,십삽일/날짜,극성수기/시기,스탠다드룸/객실 종류,두 분/인원,구만원/가격",""
"고객","사인 가족이 가면 얼마에요?","G","숙박","호텔","1","5","이용요금문의","","Q","","사인 가족이 가면 얼마에요?","","","","사인,가족,얼마","","사인/인원",""
"점원","사인 가족이 주무실 방은 온돌 룸이 있어요 두 분 기준에 구만원이고 1인에 만원씩 추가해서 사인이면 십일만원이에요. 그리고 패밀리 트윈은 퀸 하나 싱글 하나 있는 룸인데 밑에 깔 수 있는 침구를 추가하면 십칠만원이에요","G","숙박","호텔","0","6","이용요금문의","","A","","","","","사인 가족이 주무실 방은 온돌 룸이 있어요 두 분 기준에 구만원이고 1인에 만원씩 추가해서 사인이면 십일만원이에요. 그리고 패밀리 트윈은 퀸 하나 싱글 하나 있는 룸인데 밑에 깔 수 있는 침구를 추가하면 십칠만원이에요","사인,가족,방,온돌 룸,두 분,구만원,1인,만원,사인,십일만원,패밀리 트윈,퀸,하나,싱글,하나,룸,침구,십칠만원","룸/방","사인/인원,방/건축물,온돌 룸/객실 종류,두 분/인원,구만원/가격,1인/인원,만원/가격,십일만원/가격,패밀리 트윈/객실 종류,퀸/침대,하나/수량,싱글/침대,하나/인원,침구/생활용품,십칠만원/가격",""
"고객","체크인 시간은 몇 시부터, 체크아웃 시간은 몇 시까지인가요?","G","숙박","호텔","1","7","이용시간문의","","Q","","체크인 시간은 몇 시부터, 체크아웃 시간은 몇 시까지인가요?","","","","체크인 시간,몇 시,체크아웃 시간,몇 시","","체크인 시간/시간,몇 시/시간,체크아웃 시간/시간",""
"점원","체크인 시간은 네 시부터고 체크아웃 시간은 다음 날 오전 열두 시까지 하시면 돼요","G","숙박","호텔","0","8","이용시간문의","","A","","","","","체크인 시간은 네 시부터고 체크아웃 시간은 다음 날 오전 열두 시까지 하시면 돼요","체크인 시간,네 시,체크아웃 시간,오전,열두 시","","체크인 시간/시간,네 시/시간,체크아웃 시간/시간,오전/시간,열두 시/시간",""
"고객","공항 셔틀버스는 이용할 수 있나요?","G","숙박","호텔","1","9","셔틀버스문의","","Q","","공항 셔틀버스는 이용할 수 있나요?","","","","공항 셔틀버스","","공항 셔틀버스/버스",""
"점원","셔틀버스는 따로 이용할 수 없어요","G","숙박","호텔","0","10","셔틀버스문의","","A","","","","","셔틀버스는 따로 이용할 수 없어요","셔틀버스","","셔틀버스/버스",""
