SPEAKER,SENTENCE,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스,
고객,1시간에 얼마인가요?,H,관광여가오락,pc방,1,1,이용 가격 문의,,Q,,1시간에 얼마인가요?,,,,1시간,,1 시간/이용시간,
점원,처음 1시간은 1000원이고 이후 1시간은 500원씩 추가됩니다,H,관광여가오락,pc방,0,2,이용 가격 문의,,A,,,,,처음 1시간은 1000원이고 이후 1시간은 500원씩 추가됩니다,"처음, 1시간, 1000원, 이후, 1시간, 500원, 추가",,"1시간/이용시간, 1000원/이용가격, 1시간/이용시간, 500원/이용가격",
고객,무인발급기 있나요?,H,관광여가오락,pc방,1,3,무인시스템 이용 문의,,Q,,무인발급기 있나요?,,,,무인발급기,,무인발급기/이용수단,
점원,무인발급기는 카운터 바로 옆쪽에 이용 가능합니다,H,관광여가오락,pc방,0,4,무인시스템 이용 문의,,A,,,,,무인발급기는 카운터 바로 옆쪽에 이용 가능합니다,"무인발급기, 카운터, 옆쪽, 이용",카운터/계산대,"무인발급기/이용수단, 옆쪽/방향",
고객,1달 정액권 끊을 수 있나요?,H,관광여가오락,pc방,1,5,정액권 문의,,Q,,1달 정액권 끊을 수 있나요?,,,,"1달, 정액권",,"1달/이용기간, 정액권/정액제",
점원,네 1달에 5만 원입니다,H,관광여가오락,pc방,0,6,정액권 문의,,A,,,,,네 1달에 5만 원입니다,1달 5만원,,"1달/이용기간, 5만원/이용가격",
고객,정액권 끊다가 정지해도 되나요?,H,관광여가오락,pc방,1,7,정액권 해지 문의,,Q,,정액권 끊다가 정지해도 되나요?,,,,"정액권, 정지",,정액권/정액제,
점원,네 가능합니다,H,관광여가오락,pc방,0,8,정액권 해지 문의,,A,,,,,네 가능합니다,,,,
고객,음식 주문 가능한가요?,H,관광여가오락,pc방,1,9,음식 주문 문의,,Q,,음식 주문 가능한가요?,,,,"음식, 주문",,,
점원,햄버거랑 핫도그 종류 가능합니다,H,관광여가오락,pc방,0,10,음식 주문 문의,,A,,,,,햄버거랑 핫도그 종류 가능합니다,"햄버거, 핫도그, 종류",,"햄버거/음식메뉴종류, 핫도그/음식메뉴종류",
고객,pc방은 처음인데 어떻게 사용하나요,H,관광여가오락,pc방,1,1,이용 방법 문의,,Q,,pc방은 처음인데 어떻게 사용하나요,,,,"pc방, 처음, 사용",,pc방/업소명,
점원,일단 자리에서 회원가입을 해주세요,H,관광여가오락,pc방,0,2,이용 방법 문의,회원가입,Q,,,일단 자리에서 회원가입을 해주세요,,,"자리, 회원가입",,"자리/이용석, 회원가입/멤버십",
고객,아이디는 만들었어요,H,관광여가오락,pc방,1,3,이용 방법 문의,회원가입,A,,,,아이디는 만들었어요,,아이디,아이디/신분증명,,
점원,회원가입하셨으면 저쪽 기계에 돈을 넣으시면 됩니다,H,관광여가오락,pc방,0,4,무인시스템 이용 문의,,A,,,,,회원가입하셨으면 저쪽 기계에 돈을 넣으시면 됩니다,"회원가입, 저쪽, 기계, 돈",,"회원가입/멤버십 , 저쪽/방향, 기계/이용수단, 돈/결제수단",
고객,아 5만 원짜리는 안 들어가는데요,H,관광여가오락,pc방,1,5,무인시스템 오류 수정 요청,,Q,,아 5만 원짜리는 안 들어가는데요,,,,5만원,,5만원/이용가격,
점원,카운터에 오시면 교환해드리겠습니다,H,관광여가오락,pc방,0,6,무인시스템 오류 수정 요청,,A,,,,,카운터에 오시면 교환해드리겠습니다,"카운터, 교환",카운터/계산대,,
고객,만 원어치 충전했는데 이제 그냥 사용하면 되나요?,H,관광여가오락,pc방,1,7,이용 방법 문의,,Q,,만 원어치 충전했는데 이제 그냥 사용하면 되나요?,,,,"만원, 충전, 사용",,"만원/이용가격, 충전/이용방법",
점원,네 자리에서 충전된 시간 동안 사용할 수 있습니다,H,관광여가오락,pc방,0,8,이용 방법 문의,,A,,,,,네 자리에서 충전된 시간 동안 사용할 수 있습니다,"자리, 충전, 시간, 사용",,"자리/이용석, 충전/이용방법",
고객,이거 과자는 카운터에서 사나요?,H,관광여가오락,pc방,1,9,음식 주문 문의,,Q,,이거 과자는 카운터에서 사나요?,,,,"과자, 카운터",카운터/계산대,과자/음식메뉴종류,
점원,네 이쪽으로 오세요,H,관광여가오락,pc방,0,10,음식 주문 문의,,A,,,,,네 이쪽으로 오세요,,,,
고객,여기 한 시간 이용료는 얼마인가요?,H,관광여가오락,pc방,1,1,이용 가격 문의,,Q,,여기 한 시간 이용료는 얼마인가요?,,,,"한 시간, 이용료",이용료/이용가격,한 시간/이용시간,
점원,천 원입니다,H,관광여가오락,pc방,0,2,이용 가격 문의,,A,,,,,천 원입니다,천 원,,천 원/이용가격,
고객,여기 몇 시까지 해요?,H,관광여가오락,pc방,1,3,마감 시간 문의,,Q,,여기 몇 시까지 해요?,,,,시,,,
점원,밤 11시 반까지 영업합니다,H,관광여가오락,pc방,0,4,마감 시간 문의,,A,,,,,밤 11시 반까지 영업합니다,"밤 11시 반, 영업",,밤 11시 반/영업마감시간,
고객,먹을 것도 판매하나요?,H,관광여가오락,pc방,1,5,음식 주문 문의,,Q,,먹을 것도 판매하나요?,,,,판매,,,
점원,네 한식부터 중식 외 다양한 간식 준비되어 있습니다,H,관광여가오락,pc방,0,6,음식 주문 문의,,A,,,,,네 한식부터 중식 외 다양한 간식 준비되어 있습니다,"한식, 중식, 간식, 준비",,"한식/음식메뉴종류, 중식음식메뉴종류, 간식/음식메뉴종류",
고객,흡연구역은 따로 있나요?,H,관광여가오락,pc방,1,7,흡연실 위치 문의,,Q,,흡연 구역은 따로 있나요?,,,,흡연구역,,흡연구역/이용시설,
점원,네 흡연구역 있습니다,H,관광여가오락,pc방,0,8,흡연실 위치 문의,,A,,,,,네 흡연구역 있습니다,흡연구역,,흡연구역/이용시설,
고객,카드 결제 가능한가요?,H,관광여가오락,pc방,1,9,카드 결제 가능 문의,,Q,,카드 결제 가능한가요?,,,,"카드, 결제",,카드/결제수단,
점원,네 카드 결제 가능하십니다,H,관광여가오락,pc방,0,10,카드 결제 가능 문의,,A,,,,,네 카드 결제 가능하십니다,"카드, 결제",,카드/결제수단,
고객,여기 피파온라인 가맹점인가요?,H,관광여가오락,pc방,1,1,게임 가맹점 문의,,Q,,여기 피파온라인 가맹점인가요?,,,,"피파온라인, 가맹점",,"피파온라인/게임명, 가맹점/가맹점",
점원,네 피파 가맹점입니다,H,관광여가오락,pc방,0,2,게임 가맹점 문의,,A,,,,,네 피파 가맹점입니다,"피파, 가맹점",,"피파/게임명, 가맹점/가맹점",
고객,한 시간에 얼마인가요?,H,관광여가오락,pc방,1,3,이용 가격 문의,,Q,,한 시간에 얼마인가요?,,,,한 시간,,한 시간/이용시간,
점원,천 원입니다,H,관광여가오락,pc방,0,4,이용 가격 문의,,A,,,,,천 원입니다,천 원,,천 원/이용가격,
고객,한자리 주세요,H,관광여가오락,pc방,1,5,이용 요청,,Q,,한자리 주세요,,,,한자리,,한자리/이용석수량,
점원,네 30번 자리로 가세요,H,관광여가오락,pc방,0,6,이용 요청,,A,,,,,네 30번 자리로 가세요,30번 자리,,30번 자리/이용석번호,
고객,라면은 가격이 어떻게 되나요?,H,관광여가오락,pc방,1,7,음식 가격 문의,,Q,,라면은 가격이 어떻게 되나요?,,,,"라면, 가격",,리면/음식메뉴종류,
점원,천 원입니다,H,관광여가오락,pc방,0,8,음식 가격 문의,,A,,,,,천 원입니다,천 원,,천 원/음식가격,
고객,자리로 김밥이랑 라면 준비해주세요,H,관광여가오락,pc방,1,9,음식 주문 요청,,Q,,자리로 김밥이랑 라면 준비해주세요,,,,"자리, 김밥, 라면, 준비",,"자리/이용석, 김밥/음식메뉴종류, 라면/음식메뉴종류",
점원,네 준비해 드리겠습니다,H,관광여가오락,pc방,0,10,음식 주문 요청,,A,,,,,네 준비해 드리겠습니다,준비,,,
고객,후불로 할게요,H,관광여가오락,pc방,1,1,선후불 요청,,Q,,후불로 할게요,,,,후불,,후불/결제방법,
점원,네 카드 가져가세요,H,관광여가오락,pc방,0,2,선후불 요청,,A,,,,,네 카드 가져가세요,카드,,카드/결제수단,
고객,스타 되는 자리가 어디예요,H,관광여가오락,pc방,1,3,특정 게임 자리 문의,,Q,,스타 되는 자리가 어디예요,,,,"스타, 자리",스타/스타크래프트,"자리/이용석, 스타/게임명",
점원,A 구역은 다 설치되어있습니다,H,관광여가오락,pc방,0,4,특정 게임 자리 문의,,A,,,,,A 구역은 다 설치되어있습니다,"A 구역, 설치",,A 구역/이용장소명,
고객,흡연구역은 어디에요,H,관광여가오락,pc방,1,5,흡연실 위치 문의,,Q,,흡연구역은 어디에요,,,,흡연구역,,흡연구역/이용시설,
점원,화장실에 흡연실 있습니다,H,관광여가오락,pc방,0,6,흡연실 위치 문의,,A,,,,,화장실에 흡연실 있습니다,"화장실, 흡연실",,"화장실/이용시설, 흡연실/이용시설",
고객,라면 하나 부탁드릴게요,H,관광여가오락,pc방,1,7,음식 주문 요청,,Q,,라면 하나 부탁드릴게요,,,,"라면, 하나",,"라면/음식메뉴종류, 하나/수량",
점원,자리에 앉아서 주문하시면 됩니다,H,관광여가오락,pc방,0,8,음식 주문 방법 문의,,A,,,,,자리에 앉아서 주문하시면 됩니다,"자리, 주문",,자리/이용석,
고객,네 계산은 마지막에 할게요,H,관광여가오락,pc방,1,9,선후불 요청,,Q,,네 계산은 마지막에 할게요,,,,"계산, 마지막",,,
점원,네 알겠습니다,H,관광여가오락,pc방,0,10,선후불 요청 ,,A,,,,,네 알겠습니다,,,,
고객,4명이 나란히 앉을 자리 있나요?,H,관광여가오락,pc방,1,1,단체석 문의,,Q,,4명이 나란히 앉을 자리 있나요?,,,,"4명, 자리",,"4명/인원수, 자리/이용석",
점원,네 저쪽에 있습니다,H,관광여가오락,pc방,0,2,단체석 문의,,A,,,,,네 저쪽에 있습니다,,,,
고객,저희 라면 주문할게요,H,관광여가오락,pc방,1,3,음식 주문 요청,,Q,,저희 라면 주문할게요,,,,주문,,,
점원,이 중에서 골라주세요,H,관광여가오락,pc방,0,4,음식 주문 요청,,A,,,,,이 중에서 골라주세요,,,,
고객,너구리로 4개 해주세요,H,관광여가오락,pc방,1,5,음식 주문 요청,,Q,,너구리로 4개 해주세요,,,,"너구리, 4개",,"너구리/음식메뉴종류, 4개/수량",
점원,준비되면 자리로 갖다 드릴게요,H,관광여가오락,pc방,0,6,음식 주문 요청,,A,,,,,준비되면 자리로 갖다 드릴게요,"준비, 자리",,자리/이용석,
고객,프린트는 한 장에 얼마예요?,H,관광여가오락,pc방,1,7,인쇄 가격 문의,,Q,,프린트는 한 장에 얼마예요?,,,,"프린트, 한 장",,"한 장/수량, 프린트/인쇄",
점원,100원씩이에요,H,관광여가오락,pc방,0,8,인쇄 가격 문의,,A,,,,,100원씩이에요,100원,,100원/이용가격,
고객,이따 다 같이 계산해도 되나요?,H,관광여가오락,pc방,1,9,선후불 문의,,Q,,이따 다 같이 계산해도 되나요?,,,,계산,,,
점원,라면 값만 먼저 해주시면 됩니다,H,관광여가오락,pc방,0,10,선후불 문의,,A,,,,,라면 값만 먼저 해주시면 됩니다,"라면, 값",,"라면/음식메뉴종류, 값/음식가격",
고객,이 매장에 데바데가 깔려있나요?,H,관광여가오락,pc방,1,1,게임 설치 여부 문의,,Q,,이 매장에 데바데가 깔려있나요?,,,,"매장, 데바데",데바데/데드 바이 데이라이트,데바데/게임명,
점원,아니요,H,관광여가오락,pc방,0,2,게임 설치 여부 문의,,A,,,,,아니요,,,,
고객,그럼 데바데 깔아주실 수 있나요?,H,관광여가오락,pc방,1,3,게임 설치 요청,,Q,,그럼 데바데 깔아주실 수 있나요?,,,,데바데,데바데/데드 바이 데이라이트,데바데/게임명,
점원,깔아드릴게요,H,관광여가오락,pc방,0,4,게임 설치 요청,,A,,,,,깔아드릴게요,,,,
