"SPEAKER","SENTENCE","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스","",""
"고객","애가 고등학교 1학년인데 태권도 하려면 수강료가 얼마쯤?","C","학원","태권도","1","1","교육비문의","","Q","","애가 고등학교 1학년인데 태권도 하려면 수강료가 얼마쯤?","","","","고등학교 1학년, 태권도, 수강료, 얼마","","고등학교 1학년/대상, 태권도/과목","",""
"점원","12만 원입니다","C","학원","태권도","0","2","교육비문의","","A","","","","","12만 원입니다","12만 원","","12만 원/금액","",""
"점원","뭐 때문에 하시려는데요?","C","학원","태권도","0","3","상담문의","수강목적","Q","","","뭐 때문에 하시려는데요?","","","","","","",""
"고객","애가 겁도 많고 그래서 태권도 한 번 시켜보려고요","C","학원","태권도","1","4","상담문의","수강목적","A","","","","애가 겁도 많고 그래서 태권도 한 번 시켜보려고요","","겁, 태권도, 한 번","","","",""
"고객","고1이 몇 명쯤 있나요?","C","학원","태권도","1","5","수강생구성문의","","Q","","고1이 몇 명쯤 있나요?","","","","고1, 몇 명","","고1/대상","",""
"점원","대학교 올라가는 친구도 있습니다","C","학원","태권도","0","6","수강생구성문의","","A","","","","","대학교 올라가는 친구도 있습니다","대학교, 친구","","대학교/대상","",""
"고객","저녁 수업 시간이?","C","학원","태권도","1","7","강의시간문의","","Q","","저녁 수업 시간이?","","","","저녁, 수업, 시간","","저녁/시간","",""
"점원","8시에서 9시에요","C","학원","태권도","0","8","강의시간문의","","A","","","","","8시에서 9시에요","8시, 9시","","8시/시작시간, 9시/마감시간","",""
"점원","학생이 8시에 시간이 돼요?","C","학원","태권도","0","9","상담문의","수강가능시간","Q","","","학생이 8시에 시간이 돼요?","","","학생, 8시, 시간","","학생/대상, 8시/시간","",""
"고객","내면 돼요","C","학원","태권도","1","10","상담문의","수강가능시간","A","","","","내면 돼요","","","","","",""
"고객","토 일은요?","C","학원","태권도","1","11","주말프로그램문의","","Q","","토 일은요?","","","","토, 일","","토/요일, 일/요일","",""
"점원","토 일은 특강으로 수업이 진행되서 따로 돈을 받고 하고 있어요","C","학원","태권도","0","12","주말프로그램문의","","A","","","","","토 일은 특강으로 수업이 진행되서 따로 돈을 받고 하고 있어요","토, 일, 특강, 수업, 진행, 돈","","토/요일, 일/요일, 특강/수업","",""
"고객","특강료 얼마쯤해요?","C","학원","태권도","1","13","교육비문의","","Q","","특강료 얼마쯤해요?","","","","특강료, 얼마","","","",""
"점원","1월 2월 방학때는 안 하고요 초등학교 저학년 대상이에요","C","학원","태권도","0","14","교육비문의","","A","","","","","1월 2월 방학때는 안 하고요 초등학교 저학년 대상이에요","1월, 2월, 방학, 초등학교 저학년, 대상","","1월/날짜, 2월/날짜, 초등학교 저학년/대상","",""
"고객","매일 와야 돼요?","C","학원","태권도","1","15","수업일수문의","","Q","","매일 와야 돼요?","","","","매일","","","",""
"점원","운동을 시키실 생각 있으시면 매일 오는 게 적응하기가 편해요","C","학원","태권도","0","16","수업일수문의","","A","","","","","운동을 시키실 생각 있으시면 매일 오는 게 적응하기가 편해요","운동, 생각, 매일, 적응","","","",""
"고객","태권도복은 별도로 사야돼요?","C","학원","태권도","1","17","교육비에도복비포함문의","","Q","","태권도복은 별도로 사야돼요?","","","","태권도복, 별도","","태권도복/도복","",""
"점원","네 그건 별도에요","C","학원","태권도","0","18","교육비에도복비포함문의","","A","","","","","네 그건 별도에요","별도","","","",""
"점원","운동을 한 적은 없나요?","C","학원","태권도","0","19","상담문의","운동경험문의","Q","","","운동을 한 적은 없나요?","","","운동","","","",""
"고객","없어요 그래서 애가 너무 비만이에요","C","학원","태권도","1","20","상담문의","운동경험문의","A","","","","없어요 그래서 애가 너무 비만이에요","","애, 비만","","","",""
"점원","사시는 곳은 어디신가요?","C","학원","태권도","0","21","상담문의","학생위치","Q","","","사시는 곳은 어디신가요?","","","어디","","","",""
"고객","상인동 여기 살아요","C","학원","태권도","1","22","상담문의","학생위치","A","","","","상인동 여기 살아요","","상인동, 여기","","상인동/지역","",""
"점원","차량은 안 해도 되고요?","C","학원","태권도","0","23","학원차량가능문의","차량이용문의","Q","","","차량은 안 해도 되고요?","","","차량","","","",""
"고객","네 당연하죠. 걸어서 오면","C","학원","태권도","1","24","학원차량가능문의","차량이용문의","A","","","","네 당연하죠. 걸어서 오면","","당연","","","",""
"점원","학생이 한 번 해보고 결정하시는 건 어때요?","C","학원","태권도","0","25","테스트프로그램가능여부문의","체험권유","Q","","","학생이 한 번 해보고 결정하시는 건 어때요?","","","학생, 한 번, 결정","","학생/대상, 한 번/횟수","",""
"고객","그게 좋겠네요","C","학원","태권도","1","26","테스트프로그램가능여부문의","체험권유","A","","","","그게 좋겠네요","","","","","",""
